sep=;
Change-Id=Ic5864bd01f392ed7ee838006a6dff52fa645f826; subject=net/mlx5e: Don't match on vlan non-existence if ethertype is wildcarded; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Id4c0a605abb01d31f7c03b8186aa427a466eb7e6; subject=IB/mlx5: Fix kernel panic when changing switchdev mode to legacy; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I4888455e4decd004382c3cb00902b4df713b9234; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Id2fa7e0fe04395e8b803761cbaae809f97b8b4b3; subject=compat: Free devlink compat using delayed work; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I1f38dde266efde8e2c1a530d764d1e9f1cebaf2e; subject=BACKPORTS: compat: Free devlink compat using delayed work; feature=backports; upstream_status=ignore; general=;
Change-Id=Ia3ac9e4c17355e20f65048a10e15874306930cc8; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I35e93767a796c9f80fb26fa99259a53e72b23ce0; subject=net/mlx5e: Fail attempt to offload e-switch TC flows with egress upper devices; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: a0646c88ed3a, tag: v5.0-rc1;
Change-Id=I522a5a0a543c7707f8eaeb763fd1abfb5811a9fc; subject=net/mlx5e: Tunnel routing output devs helper function; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 442e1228cbac, tag: v5.0-rc1;
Change-Id=I95d3f4bf552731a5210a9241dbfec756487d5455; subject=net/mlx5e: Fail attempt to offload e-switch TC encap flows with vlan on underlay; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: b168cff0b9b2, tag: v5.0-rc1;
Change-Id=I7789da6e0a9a86527d09ce879112db63ff051495; subject=net/mlx5e: Tunnel encap ETH header helper function; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 05ada1adb65a, tag: v5.0-rc1;
Change-Id=If3296c809ce713234be57fa3d711f0d8cf565224; subject=net/mlx5e: Re-order route and encap header memory allocation; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: c7bcb277bda4, tag: v5.0-rc1;
Change-Id=I2af53300705611e811c3620e91d8e70473b509e4; subject=net/mlx5e: Support VLAN encap ETH header generation; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: aa331450b81f, tag: v5.0-rc1;
Change-Id=I01ebaa99dc4b191eaa449dea33d6026e359fa441; subject=net/mlx5e: Support tunnel encap over tagged Ethernet; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: e32ee6c78efa, tag: v5.0-rc1;
Change-Id=Iadb234e907711356c8a112f1aa5768dfd14d55cf; subject=BACKPORTS: net/mlx5e: Support tunnel encap over tagged Ethernet; feature=backports; upstream_status=ignore; general=;
Change-Id=Ib4ec7eb8b27dacd3ef8d42eae8ae58331c806392; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I743218ac1c34aa0062b605a4ea87550173ccd861; subject=net/mlx5: E-Switch, fix peer miss rule NULL pointer panic; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: ac004b832128, tag: v5.0-rc4;
Change-Id=I98d3952c87e508c925f3ef8fe55137f63fa071b5; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I053727b22ab4a35f5b8081c9d9bc129ed9484bbd; subject=net/mlx5e: Add VLAN ID rewrite fields; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Ib87157c5995a165e988df94fe6962927324e835b; subject=net/mlx5e: Add arguments for vlan parsing function; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I58a73afb4b881c7a7ff2cb86fc96f4c43b284c6b; subject=net/mlx5e: Support VLAN modify action; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Icb2071d7cd129839fef5200672df0d5c0a09cfb7; subject=net/mlx5e: Replace TC VLAN pop and push actions with VLAN modify; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I244983119b8bfdfa7216b0fff7531a8951a01174; subject=BACKPORTS: net/mlx5e: Support VLAN modify action; feature=backports; upstream_status=ignore; general=;
Change-Id=Ib22e388fd59a6ce31935fa352fe4aac569f95186; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I755c899bf0346139d5de65178691d08fc44d8c12; subject=compat: Forbid changing E-Switch mode in parallel; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I2190d2f73f7f1457e23be14873c2388bc8bcda84; subject=BACKPORTS: compat: Forbid changing E-Switch mode in parallel; feature=backports; upstream_status=ignore; general=;
Change-Id=I4ffd544e2f87f46f020b5a0170418ed62f897561; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I6abaa77ccb76d5abb3c1fa350a59570fe68da68d; subject=IB/mlx5: Fix a panic in mlx5_ib_handle_event; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I630e8448003614bd8095bfc920df2c10edc7e2ae; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I7e8dcd234fe88eaa5e2ad3b371f47ddcc8a33fb5; subject=BACKPORTS: fix xdp_rxq_info_reg_mem_model backport; feature=backports; upstream_status=ignore; general=;
Change-Id=I1c780787c82b76f3d0f4b2a9ee780c5b7fab4824; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Iacdd3f0b73d45381e9cf8bd359e1668735c60ac7; subject=BACKPORTS: fix xdp_rxq_info_reg_mem_model backport; feature=backports; upstream_status=ignore; general=;
Change-Id=Idb4db3220632cc2e4e519c96a98475fcd8f101ae; subject=gen-compat-config.sh: Fix pedit compile failure on JD kernel; feature=ofed_scripts; upstream_status=NA; general=;
Change-Id=I495147b59ef4b8a0faa1e9cb14e649d91be271dc; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ic6567802ec3dc9233ce295cd618900c4df0ed79a; subject=net/mlx5e: Extend tc flow struct with reference counter; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Ied9aabfa032be22ed8d5716abaa11010e525916b; subject=net/mlx5e: Protect tc flows hashtable with rcu; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Ib02b5f1b2859cd7ce68a474ac00ec2ced2e130f3; subject=net/mlx5e: Change flow flag type to atomic int; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I3dadafcc3c36e78e509681c34d7f1f971d329934; subject=net/mlx5e: Use atomic barrier when setting flow 'offloaded' flag; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Idb98c2d74b4f1c091a59e7599b264cc755dde9c2; subject=net/mlx5e: Extract hairpin delete code into function; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Ic21aa48b41f9180275c4d69f0a44034e8d2118f2; subject=net/mlx5e: Extend hairpin entry with reference counter; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I3de730b424f129f54477a6ea274476e6cb326a48; subject=net/mlx5e: Protect hairpin entry flows list with spinlock; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I80b6d3075cb30d3063943044e7abd48076e8d7bc; subject=net/mlx5e: Protect hairpin hash table with lock and rcu; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I41bbabbaad4639e81162b2e73a44e9ade1c8e605; subject=net/mlx5e: Extract hairpin entry lookup/create code into function; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Id503d5a3ce6f04a6d136ea4f87c963178445ed85; subject=net/mlx5e: Atomically allocate and insert hairpin entry; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I80bbff299b0cc0828c11367a5eef2226fd3cc683; subject=net/mlx5e: Extract mod header lookup and delete code into functions; feature=mlx5_asap; upstream_status=in_progress; general=;
