sep=;
Change-Id=Ica1ecf3069e0b03cbc427f163de65588d2e9e404; subject=Initial commit; feature=rebase; upstream_status=ignore; general=;
Change-Id=I86ab9ea054db584ca2b0a3d3b53b9d4913dd9220; subject=Set base code to Linux v4.20-rc3; feature=rebase; upstream_status=ignore; general=;
Change-Id=I096baf325ed384235fa698c9b6449d1278ba75ad; subject=Add dummy modules and standalone packages; feature=rebase; upstream_status=ignore; general=;
Change-Id=Ic36b32e790dd2ebaed404358bbf87127de58f342; subject=configure: Add CONFIG_MLX5_EN_ARFS; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I94e8ece1110251fd2c53706c6d5523b1e1aa4c3d; subject=configure: Add CONFIG_MLX5_EN_RXNFC; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I4266fe933ccf084b8192388f0f2b79fd265f947e; subject=configure: Add Remove unwanted o files from Makefile; feature=rebase; upstream_status=ignore; general=;
Change-Id=Id609477b701684a0dfa86f4aed54f290fa0d813e; subject=metadata: Initial MD; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I5ae34ce6d1571c8cb2dbb81834e5140e80db182f; subject=IB/core: fix uverbs_cmd_exp.c prototypes; feature=exp_create_flow; upstream_status=NA; general=;
Change-Id=Iaa4dade21518d0f640d2a3e43001443c69e54620; subject=rxe: block user space libs access kernel in.h in6.h headers; feature=rdma_rxe_bugs; upstream_status=NA; general=;
Change-Id=I9b5ac6e412b2802009fed3e6aa0c58df8001fb45; subject=net/mlx5e: Add support for XDP TX HW checksum offload; feature=checksum_offload; upstream_status=in_progress; general=;
Change-Id=I9ab4bd60fcd5f246c15e851ce2a0d63537be4d53; subject=net/mlx5: Fix number of max channels in mlx5e_grp_channels_fill_[strings,stats]; feature=mlx5e_counter_groups; upstream_status=NA; general=;
Change-Id=I8a1458d013a7698c7c564f8f909c63afde6d08a7; subject=IB/ipoib: remark get_settings from ethtool_ops; feature=ipoib_ethtool_speed_support; upstream_status=NA; general=;
Change-Id=I6a861a1b75468f9e2559b85c67793046123b23fe; subject=metadata: general metadata update for 4.20 rebase; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I4d01e9752b09873eac23f3394c30e8ccd156a461; subject=ofed_scripts: Fix compilation warning; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ie1373006f399fd5fd39fa1934da277f3a1ccf7a7; subject=metadata: Update MD; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ie0d5a6b69af9ff812b103641af0ce67cc8f4b985; subject=metadata: Update MD; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I66197c74aa6f78139082eda06a40e89a824a3251; subject=BACKPORTS: Add ib_core backports; feature=backports; upstream_status=ignore; general=;
Change-Id=Ib4eeeba180d7bcd5471710a5022f43a0ff5451a5; subject=IB/mlx5: Replace non-supported function clear_thread_tidr; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I5d7b00c372b9a6222845453ec1ccc4d2a6a30c9f; subject=Fix HAVE_UMEM_NOTIFIER_PARAM_BLOCKABLE issue; feature=backports; upstream_status=ignore; general=;
Change-Id=I3a509514ce8e884f5605215485ca11e6d857dd71; subject=BACKPORTS MLX4-CORE; feature=backports; upstream_status=ignore; general=;
Change-Id=I22c8b47f6e4d0aad0b521352fcc97d60c1e8e1ee; subject=BACKPORTS MLN4_IB; feature=backports; upstream_status=ignore; general=;
Change-Id=I63b1759922baf91037f5d179fade27309ac71ce4; subject=backports: add RXE backports; feature=backports; upstream_status=ignore; general=;
Change-Id=Ia56e1975d940c21134c6ed9ba1d191bb13f1205c; subject=Backports: mlxfw; feature=backports; upstream_status=ignore; general=;
Change-Id=Iffa15550f5dd4c98fe4086761a2599d3ef8f5d4e; subject=Backports:eth-ipoib; feature=backports; upstream_status=ignore; general=;
